Wind,JerlovType,a,b,c
1,III,-0.0006042275490485,-0.131863507946265,22.169639773474
1,IC,-0.000491392566959513,-0.199096836477536,22.2058519372537
1,3C,-0.00042668358105536,-0.305553903746205,22.2338237623443
1,5C,0.00144784992489733,-0.613412344616496,22.3682150949283
1,7C,0.010477265860291,-1.3344784942241,22.4922275756405
3,III,-0.000596314883769403,-0.132807071361401,22.171496251656
3,IC,-0.00045528974405338,-0.201586404340638,22.2263971762065
3,3C,-0.000383532060791228,-0.307682947369098,22.2510333131118
3,5C,0.00142942143128269,-0.612896292415408,22.3554889239281
3,7C,0.0108213180137124,-1.33806762989816,22.4805692473814
5,III,-0.000574992711557399,-0.135355624026379,22.1892605021752
5,IC,-0.000450187452609311,-0.202623817077551,22.2219188197656
5,3C,-0.000343965027257473,-0.310136237362731,22.2446603200706
5,5C,0.00148351060088562,-0.614940587594939,22.3478521053626
5,7C,0.0114634042279245,-1.35164727908227,22.5015180492085
7,III,-0.000575221946687783,-0.136048886237742,22.1880841101289
7,IC,-0.000469127181607079,-0.20287979035558,22.2228133683921
7,3C,-0.000282676444177211,-0.31359655548853,22.2566347611308
7,5C,0.00152416511914806,-0.616431929348098,22.3269651026541
7,7C,0.0102996632545306,-1.33425337477006,22.4301476513489
9,III,-0.000569129263371202,-0.136367733873426,22.191669782126
9,IC,-0.000410697766107558,-0.20541055240046,22.2338407717577
9,3C,-0.000252597140066469,-0.314612932660819,22.255387088551
9,5C,0.00170790668806072,-0.622482391316118,22.3653431008063
9,7C,0.0114728968339103,-1.3508748076963,22.4636358669724
