Wind,JerlovType,a,b,c
1,III,-5.97263631024658e-05,-0.0131958041343689,2.21688376262439
1,IC,-4.92470032234081e-05,-0.019874796307008,2.22150880180768
1,3C,-3.78686895676186e-05,-0.030721584691239,2.22486897002288
1,5C,0.000116920925664707,-0.0605337439435729,2.23437078868319
1,7C,0.00107239597763001,-0.133632043313185,2.24823634591468
3,III,-6.01903804460074e-05,-0.013235655653254,2.21756091493605
3,IC,-4.91742851880193e-05,-0.0199262525233242,2.22143704148377
3,3C,-3.80288149504937e-05,-0.0307945935793869,2.22542723001916
3,5C,0.000138695218968336,-0.0611015707280049,2.2349454769887
3,7C,0.00108053443820087,-0.134006591680785,2.24916591925806
5,III,-5.99441317198086e-05,-0.0133494932255516,2.2179427975158
5,IC,-4.58702277998224e-05,-0.0202255674930465,2.22277303420558
5,3C,-2.86978010156595e-05,-0.0312102603350016,2.22605647245628
5,5C,0.00014537755532745,-0.0613796764162898,2.23428483674817
5,7C,0.00107675710254504,-0.133695967842412,2.24472554440118
7,III,-5.69588261694077e-05,-0.0135874556935342,2.21958054249804
7,IC,-4.38686688395327e-05,-0.0203736978768068,2.22320204782123
7,3C,-2.93924500413687e-05,-0.0311929194612235,2.22434942930518
7,5C,0.000145312722830496,-0.0614881349197604,2.23391134067784
7,7C,0.00112824928750673,-0.134801452276204,2.24621449590936
9,III,-5.70499181419217e-05,-0.0136052484287791,2.21907685430566
9,IC,-4.27484063004342e-05,-0.0204628548178031,2.22394995357296
9,3C,-2.56155377325504e-05,-0.0314880346751771,2.22670329195323
9,5C,0.000142340303943796,-0.0614633711848314,2.23365409632289
9,7C,0.00117206683603441,-0.135503708057795,2.24819580300797
