Wind,JerlovType,a,b
1,III,0.0141173320845715,0.00680067252068047
1,IC,1.51410711983437e-07,0.00861031949814084
1,3C,6.9309813798743e-08,0.0101599410522883
1,5C,-2.52511412263546e-09,0.0137672464585028
1,7C,-4.52309248647422e-08,0.0214942515996256
3,III,0.0166398168523791,0.00675054329611404
3,IC,-2.66087517321921e-07,0.00849679299872279
3,3C,-3.06619513639851e-07,0.0100671890682095
3,5C,3.05536202730879e-08,0.0134559105671434
3,7C,-4.45660690859168e-08,0.0198412954889065
5,III,0.0132937330102891,0.00694416007347644
5,IC,-4.08774430298532e-07,0.00887263036453379
5,3C,4.55170951486413e-08,0.0104252537921631
5,5C,-6.53432281003253e-08,0.0140102191593648
5,7C,-4.45276936743172e-07,0.0217703266373609
7,III,0.0163721110139215,0.00711902811096998
7,IC,4.70021238098454e-07,0.00892448497157273
7,3C,-4.08941927460578e-08,0.010389989784677
7,5C,-1.26675345767914e-07,0.0141278599892483
7,7C,-8.00739234918013e-08,0.0192891568092073
9,III,0.0141536501883418,0.00717509199490571
9,IC,-3.65413465572283e-07,0.0089544595987956
9,3C,-5.35229818267565e-08,0.0102318899230877
9,5C,-7.01037787410502e-09,0.014032881944567
9,7C,1.85637013215887e-07,0.0215191295751807
