Wind,JerlovType,a,b
1,III,4.2408333034584,0.0785897108600835
1,IC,4.13440523699397,0.0780125208623106
1,3C,4.09634753863754,0.0683006371231804
1,5C,4.15299543379311,0.0473717419442547
1,7C,4.30098319399131,0.00693083943130462
3,III,4.25515120412922,0.0791177935231006
3,IC,4.15172263709539,0.0781247300183029
3,3C,4.09892678733328,0.0688199129953639
3,5C,4.15824567658756,0.0473699360962479
3,7C,4.31044809876803,0.00574224832327021
5,III,4.30694687533391,0.0799908907584134
5,IC,4.17951316977169,0.0786640342728781
5,3C,4.11877510024705,0.0688974926452802
5,5C,4.16043411564304,0.0480594869879771
5,7C,4.33543799999507,0.0013215564083391
7,III,4.33963018608267,0.0803605707010931
7,IC,4.19753920890911,0.0790704627363435
7,3C,4.12412576800172,0.0696158200654418
7,5C,4.17022105101451,0.0473917555961675
7,7C,4.3213086269909,0.00396371365593424
9,III,4.34935683711578,0.0803333258582622
9,IC,4.20572751960795,0.0792101322144519
9,3C,4.12955260756717,0.0693121519200776
9,5C,4.17551758479894,0.0473820544852246
9,7C,4.30676491876153,0.00614230091887307
