Wind,JerlovType,a,b
1,III,0.010640152765107,0.00688152058918325
1,IC,-5.14497349087832e-07,0.00873482356291603
1,3C,-1.47972234974606e-07,0.0100533303122061
1,5C,7.76656974895419e-08,0.0139207145875402
1,7C,-2.3423485468124e-07,0.0214399866933853
3,III,0.0127610145421671,0.0068560633392256
3,IC,-7.11516533403968e-08,0.00870806422074746
3,3C,9.30968821244054e-08,0.0101737436217138
3,5C,-3.29931988380223e-07,0.0138346601406628
3,7C,-8.44649384023879e-08,0.0213512434072564
5,III,0.0150677917856388,0.00693451806593085
5,IC,-1.63940004529523e-07,0.0088823549466813
5,3C,1.20804909597273e-07,0.0101977852503707
5,5C,2.22739963047415e-07,0.0141687498443852
5,7C,2.24399185437135e-07,0.0221660343656943
7,III,0.018849333947293,0.0069918853659529
7,IC,4.69934982947641e-07,0.00892474513752216
7,3C,-2.49585892325483e-07,0.0103566497871205
7,5C,5.91036833300605e-08,0.0139314356291741
7,7C,-6.54126714724489e-07,0.022010787338474
9,III,0.0169933487823892,0.00720314216458333
9,IC,-8.54293646844277e-07,0.00908288927711057
9,3C,-1.11795667409973e-07,0.0104743501044566
9,5C,-7.8854252089064e-08,0.014100718520521
9,7C,2.54182000865627e-08,0.0220185692190691
