Wind,JerlovType,a,b,c
1,III,-6.25541243279303e-05,-0.0130401204505268,2.21614878977247
1,IC,-5.02248126725401e-05,-0.0198357055954633,2.22108233296058
1,3C,-4.3318353185664e-05,-0.0305220943223166,2.22406752702198
1,5C,0.000130694923007258,-0.0608768839614784,2.23485194155724
1,7C,0.00106825932051783,-0.133512398499789,2.249152538584
3,III,-6.17516884756766e-05,-0.013126292591518,2.21672781677451
3,IC,-4.97617173442604e-05,-0.0198660140715743,2.2204541301896
3,3C,-3.69044726936759e-05,-0.0307930732468621,2.22559111106931
3,5C,0.000121687420833192,-0.0607417281399511,2.23456095528685
3,7C,0.00110493294157978,-0.134240376851469,2.25026912366481
5,III,-5.87114061225153e-05,-0.0134197623016703,2.21845625666727
5,IC,-4.77669963618164e-05,-0.0201152137385307,2.22236686181521
5,3C,-3.62041369118114e-05,-0.0309014404377786,2.22423214008155
5,5C,0.000139095719655039,-0.0612571394445459,2.23408546849604
5,7C,0.00113764304825465,-0.134991801945787,2.24919489777603
7,III,-5.73043051853374e-05,-0.0135877360890996,2.21985955703352
7,IC,-4.35722834349438e-05,-0.0204117430169852,2.22342807420639
7,3C,-2.9493797559401e-05,-0.0312565810729713,2.22524640653124
7,5C,0.000151277233639186,-0.0616502213285286,2.23388072266466
7,7C,0.00117321184531613,-0.135319311319747,2.24729198482737
9,III,-5.68695796299751e-05,-0.0136333201131981,2.22009000490371
9,IC,-4.46678982063848e-05,-0.0203370331425846,2.22283942582481
9,3C,-2.67148123610808e-05,-0.0313575517830156,2.22623252114558
9,5C,0.000154633957659847,-0.0616321212692769,2.23376057664258
9,7C,0.00119414125285033,-0.135876766676363,2.24922824163603
