Wind (m/s),Kd (Jerlov),Wind_input,Kd_input,Depth (m),SVU (m),SHU (m)
1,III,2,0.12,10,0.1,2.887
1,IC,4,0.15,10,0.1,2.819
1,3C,6,0.21,10,0.107,2.735
1,5C,8,0.27,10,0.144,2.649
1,7C,10,0.471,10,0.196,2.503
3,III,2,0.12,10,0.1,2.898
3,IC,4,0.15,10,0.1,2.827
3,3C,6,0.21,10,0.106,2.74
3,5C,8,0.27,10,0.143,2.649
3,7C,10,0.471,10,0.226,2.485
5,III,2,0.12,10,0.1,2.931
5,IC,4,0.15,10,0.1,2.848
5,3C,6,0.21,10,0.111,2.753
5,5C,8,0.27,10,0.144,2.655
5,7C,10,0.471,10,0.226,2.561
7,III,2,0.12,10,0.1,2.954
7,IC,4,0.15,10,0.1,2.861
7,3C,6,0.21,10,0.111,2.761
7,5C,8,0.27,10,0.147,2.658
7,7C,10,0.471,10,0.224,2.493
9,III,2,0.12,10,0.1,2.957
9,IC,4,0.15,10,0.1,2.866
9,3C,6,0.21,10,0.111,2.763
9,5C,8,0.27,10,0.147,2.659
9,7C,10,0.471,10,0.23,2.565
