Wind,JerlovType,a,b
1,III,0.0130440831264826,0.00684449995220718
1,IC,4.70152870499766e-07,0.00864402455369912
1,3C,1.60097686568505e-07,0.0101793726918179
1,5C,1.83760760392789e-07,0.0138350046599622
1,7C,-6.04878261125588e-08,0.0209137332050194
3,III,0.0126671702559657,0.00683054967990093
3,IC,-5.39925406788299e-07,0.00869279112993368
3,3C,-2.92491256744234e-07,0.0101994573001927
3,5C,8.12538518498019e-09,0.0139334947618886
3,7C,-7.00875405668953e-07,0.0220632078880467
5,III,0.0171119689817592,0.00686020315297936
5,IC,-6.76695712187242e-07,0.00870704107599787
5,3C,-2.85477183193737e-08,0.0100971520025529
5,5C,2.3192045293167e-07,0.0140008378402141
5,7C,-9.55850000923855e-08,0.0205002994487542
7,III,0.0147753829493514,0.00711812570302439
7,IC,1.51014974036863e-07,0.00891637541625371
7,3C,3.00951781666456e-07,0.0103988930620474
7,5C,-4.52408006931449e-07,0.0142030473201283
7,7C,-3.78736017403172e-07,0.0215962924904328
9,III,0.0182842545609664,0.00709304046607515
9,IC,-4.90750069825816e-07,0.00899238919187621
9,3C,1.69910358918356e-07,0.0103318440706747
9,5C,4.70936139401337e-08,0.0142756238421033
9,7C,6.71186497385973e-07,0.0213373125426881
