Wind,JerlovType,a,b
1,III,0.013551759419082,0.00679026880826698
1,IC,6.11897756246714e-07,0.00872435733947792
1,3C,-1.44880588772762e-08,0.0101339008559192
1,5C,3.51669164203456e-07,0.0141877128407396
1,7C,-1.92012236913789e-07,0.0215587068115713
3,III,0.0140675304252595,0.00675717503859328
3,IC,-7.289840799367e-08,0.008828718187632
3,3C,1.74421415816951e-07,0.01016309982592
3,5C,-2.67246564454414e-07,0.0136160617615353
3,7C,-2.92713931379902e-07,0.0218938108001166
5,III,0.0131126600155835,0.00702980741272511
5,IC,6.5008867357945e-07,0.00890903563928313
5,3C,8.38566511106869e-08,0.0103153300478237
5,5C,1.69407435752526e-08,0.0137524144978895
5,7C,5.60574318473293e-07,0.0218673301147022
7,III,0.01536120239919,0.00716014347483889
7,IC,-1.23807814572447e-06,0.0088483814871208
7,3C,1.2023667175934e-07,0.0104212106646512
7,5C,-1.07354103293049e-07,0.0139389744563237
7,7C,4.00040482271457e-07,-0.0216544422498005
9,III,0.0176748965884876,0.00710714232345355
9,IC,5.24600037723514e-07,0.00901595525288528
9,3C,-1.3379771304179e-07,0.0105351794624079
9,5C,5.21234247806266e-07,0.0145124697307018
9,7C,-2.41265983539477e-07,0.0217494211568628
