Wind,JerlovType,a,b,c
1,III,-6.26755569059369e-05,-0.0130675463234362,2.21600876644372
1,IC,-5.02694936092021e-05,-0.0198666847148528,2.2214740356839
1,3C,-4.65131120242537e-05,-0.0304056741946808,2.2235070809787
1,5C,0.000130011094721314,-0.060853022558891,2.23536411784723
1,7C,0.00107323327251149,-0.133774977647645,2.2502125812033
3,III,-0.000647949770894301,-0.12975811460487,22.1524735500703
3,IC,-0.000524012296443072,-0.19793663620869,22.2065636148296
3,3C,-0.00051287158340586,-0.302804323190959,22.2241648335619
3,5C,0.001347928267789,-0.610386554078483,22.3513705541748
3,7C,0.00903139184191905,-1.31315972794799,22.4255801979752
5,III,-5.98165160580944e-05,-0.0133905650046463,2.21806520870774
5,IC,-4.81017062447926e-05,-0.0200966842075466,2.22160612308878
5,3C,-3.55072045397473e-05,-0.0309935588250314,2.22473798979131
5,5C,0.000150500756343172,-0.0615781460182043,2.23552613044043
5,7C,0.00111811041601593,-0.134529986258922,2.24746763151886
7,III,-0.000606212486513205,-0.134032687114951,22.1787921969343
7,IC,-0.000515371073649558,-0.200168098162498,22.2070002723262
7,3C,-0.000387648102793765,-0.309429265822784,22.2395366479689
7,5C,0.00145929405555786,-0.614181434614837,22.3364185307963
7,7C,0.00992296486121683,-1.33054745144004,22.438209564252
9,III,-5.8442492272325e-05,-0.0135709720815993,2.21895638807569
9,IC,-4.58817471522724e-05,-0.0202983924807231,2.22251272990447
9,3C,-3.19998642362258e-05,-0.0311761945997388,2.22459148521543
9,5C,0.000153547467335408,-0.0616468371902736,2.23469568459646
9,7C,0.00117484853643395,-0.135331479044403,2.24685072732797
