Wind,JerlovType,a,b
1,III,0.012859369808043,0.0067914564599883
1,IC,0.000152117902978898,0.00868689974379008
1,3C,-2.30188779697525e-07,0.0100900296111718
1,5C,-4.5020177753588e-07,0.0138882226581523
1,7C,9.57320731748791e-07,0.0220806234144007
3,III,0.0131926627912836,0.00689355272065292
3,IC,2.22802650584606e-07,0.00870780025555251
3,3C,1.52907430045522e-07,0.0101623254092943
3,5C,-4.53630133275706e-07,0.0140082402092354
3,7C,1.5904960164598e-07,0.0189918936756372
5,III,0.0131264147210242,0.00700419143778216
5,IC,-1.2529670593614e-07,0.00895095344408736
5,3C,1.508265981784e-07,0.0102620063264355
5,5C,5.36327072199322e-08,0.0140071788869874
5,7C,6.58879905960666e-07,0.0210455936525523
7,III,0.0156404469269465,0.00713355707383804
7,IC,4.14657837655883e-07,0.00888091088290085
7,3C,-2.84873057619136e-09,0.0102705686499863
7,5C,-3.09958997880902e-07,0.0141440870005811
7,7C,8.00526625019254e-08,0.020332905732342
9,III,0.0152638153450971,0.00719474912128234
9,IC,1.34399082009736e-06,0.00890377801566824
9,3C,-3.30180458866421e-07,0.0104434859378793
9,5C,6.17303359484894e-08,0.0139734097022887
9,7C,-6.07710931148554e-08,0.0219527791980409
