Wind,JerlovType,a,b
1,III,4.30724985456124,0.0783600559523702
1,IC,4.20195406246019,0.0773421726322885
1,3C,4.15067434592534,0.0680618164150103
1,5C,4.21517595763241,0.0466184155371104
1,7C,4.36550788123319,0.00430364450418914
3,III,4.326128512769,0.078749442690047
3,IC,4.208714862887,0.0779336636337988
3,3C,4.15744458457252,0.0682103641715616
3,5C,4.20624978640265,0.0476211308553511
3,7C,4.31613250609687,0.0143077629337134
5,III,4.37532697997818,0.0796398304224467
5,IC,4.2427935058091,0.0782725935054644
5,3C,4.17711675780822,0.0684545428539512
5,5C,4.21755223673912,0.0472989802593408
5,7C,4.37370560953257,0.00370954105440409
7,III,4.40369584046293,0.080345314732457
7,IC,4.26179300644602,0.0787051494778231
7,3C,4.18618827577574,0.0689173235018557
7,5C,4.21943036594766,0.0476526465082505
7,7C,4.32326052530523,0.0119615402559624
9,III,4.41436504387282,0.0802281139512299
9,IC,4.2684292113648,0.078718017781051
9,3C,4.18648293781832,0.0690938217497927
9,5C,4.22505775760516,0.0473692120896141
9,7C,4.37884188611664,0.00249155708247719
