Wind,JerlovType,a,b,c
1,III,-6.21804036032859e-05,-0.0130784424364696,2.2165226871922
1,IC,-4.79001147704135e-05,-0.0199910035160553,2.22218166157405
1,3C,-3.84820258397902e-05,-0.0306575488829645,2.22420703356222
1,5C,0.000136980753998572,-0.0610550888662928,2.2355354255492
1,7C,0.000888975289812282,-0.130879835313191,2.24227237002293
3,III,-6.19384294744144e-05,-0.0131238599850267,2.21637564689881
3,IC,-5.11185718482391e-05,-0.0198528311586429,2.22094349287457
3,3C,-3.80014677244519e-05,-0.03074424684211,2.22382851412335
3,5C,0.000138545072212023,-0.0611603149342293,2.23478881097864
3,7C,0.00108254573563882,-0.133848113326707,2.24751412473534
5,III,-5.88708566048516e-05,-0.0134142675832886,2.21815610697572
5,IC,-4.92454598996911e-05,-0.0200412418431162,2.22083315998285
5,3C,-3.42088886684038e-05,-0.0310110853233943,2.22474678599347
5,5C,0.000133427780917282,-0.0611371926268836,2.23308477785913
5,7C,0.00113242350548348,-0.134970008467217,2.24854925741256
7,III,-5.83486180802895e-05,-0.013530050962772,2.21857463216784
7,IC,-4.66418363585508e-05,-0.0202238050894092,2.22192193492657
7,3C,-2.57850035695879e-05,-0.0314008686235454,2.22604552129377
7,5C,0.000168490556779721,-0.0620826865883349,2.23579113790175
7,7C,0.0011563670184061,-0.135535036075715,2.24956330783995
9,III,-5.59512900937385e-05,-0.0136780190388683,2.21992982349627
9,IC,-4.39920233473629e-05,-0.0203917010364683,2.22238684755311
9,3C,-2.25903488381226e-05,-0.0315393071471511,2.22668152990564
9,5C,0.000164154653411994,-0.0619882586818085,2.2353921608554
9,7C,0.00115763459563698,-0.135589675734618,2.24944198853835
