Wind,JerlovType,a,b
1,III,4.20962276288082,0.0793400159971776
1,IC,4.10429204950844,0.0781984533477737
1,3C,4.05316442891539,0.0687686324187975
1,5C,4.11257512998291,0.0478859895824432
1,7C,4.22580775855585,0.0112233737723942
3,III,4.2264042717531,0.0796928210185471
3,IC,4.11160565345245,0.0787186606733422
3,3C,4.05576487115914,0.0692281388962674
3,5C,4.1108881594568,0.0480039417539897
3,7C,4.29139728587753,0.00156183816758678
5,III,4.27323943566736,0.0806467741789122
5,IC,4.14162374976881,0.079390774604065
5,3C,4.07503454978722,0.0695477872095134
5,5C,4.11346586869588,0.04887521701567
5,7C,-1.13971443685616,0.859106172792285
7,III,4.30751107914003,0.0811397857471033
7,IC,4.16335833196949,0.0795651181493657
7,3C,4.08543348406944,0.069891767309548
7,5C,4.12384992730198,0.0482531210055715
7,7C,4.28432090630381,0.00358148489468606
9,III,4.31210157838297,0.0812241587799222
9,IC,4.16887524183615,0.0797726050065089
9,3C,4.08851914938156,0.0699631549146145
9,5C,4.12570478414139,0.0482189108006235
9,7C,-1.1337629033045,0.85835577597438
